Data Approvazione,Ente,Titolo dell'iniziativa,Descrizione dell'iniziativa,"Destinatari, fruitori dell'iniziativa",Tempistiche dell'iniziativa,Metriche di valutazione dell'impatto,Eventuali partner coinvolti nell'iniziativa,L_Tipologia_Scala,L_Destinatari,L_Proponenti,L_Tipologia_Attivita_1,L_Tipologia_Attivita_2,L_Tipologia_Attivita_3,L_Tipologia_Attivita_4,L_Tipologia_Attivita_5,L_Tipologia_Attivita_6,URL
15/03/2022 0.00.00,Women&Tech - Associazione Donne e Tecnologie ,Il Tram dell'Innovazione,"Giunto nel 2022 alla sua 5° edizione, il Tram dell’Innovazione® è un progetto di Women&Tech® - Associazione Donne e Tecnologie, ideato dalla Presidente Gianna Martinengo, con l’obiettivo di portare i temi dell’innovazione digitale al grande pubblico, offrendo l’occasione per documentarsi, confrontarsi e apprendere come la tecnologia – intesa nella sua accezione più ampia - sta cambiando la nostra quotidianità, impatta sul nostro modo di lavorare, di muoversi, di agire e sui nostri stili di vita.  Interlocutori del Tram dell’Innovazione® sono le aziende, le istituzioni, le università e la Pubblica Amministrazione che, attraverso workshop e webinar, tour fisici e/o virtuali, raccontano ai cittadini non solo scenari futuribili, ma anche esperienze e soluzioni concrete sull’uso e sull’impatto delle più moderne tecnologie digitali, gettando le basi per una formazione a prova di futuro. Sono molti e variegati i temi trattati dai professionisti che si danno il cambio alla guida virtuale del tram: si va dalla smart mobility alla cybersecurity, dall’Internet delle Cose alla User Experience, dall’Intelligenza Artificiale alla robotica, all’Impresa 4.0. Particolare attenzione è posta sull’influenza che il digitale sta avendo nello sviluppo dei rapporti interpersonali nel posto di lavoro, in famiglia e nella società. Il tram, spazio fisico – virtuale di conversazione e di incontro, offre alle persone un’esperienza che coniuga la tradizione (il tram) con l’innovazione più spinta, rappresentata dal futuro ‘tecnologico’ che attende i cittadini, le imprese e gli enti della pubblica amministrazione e a cui nessuno può più sottrarsi. La partecipazione agli appuntamenti del Tram dell’Innovazione® è gratuita, previa registrazione online.",Cittadini (giovani e adulti) interessati alla conoscenza e allo sviluppo di nuove competenze e professioni.,"Nove sessioni online di 45 minuti ciascuna, distribuite su tre giorni (29-30-31 marzo 2022). Gli eventi live sono fruibili anche on-demand, per coloro che non hanno avuto modo di partecipare o che desiderano approfondire i temi trattati.","La valutazione dell'impatto avviene principalmente tramite la rilevazione di: numero di iscritti, numero di partecipanti/utenti unici e visualizzazioni complessive (i contenuti rimangono accessibili on-demand). Altri indicatori di successo dell’iniziativa prendono in considerazione il numero di relatori e aziende partner coinvolti, le uscite stampa e gli insight dell’attività social svolta sui canali di Women&Tech® (Facebook, Instagram, Linkedin, Twitter e YouTube) dove sono presenti circa 8.500 follower e possiamo contare su una copertura complessiva di 210.000 contatti nel 2021, con una previsione di ulteriore crescita.",Istituzioni e aziende associate a Women&Tech®.,Nazionale,Cittadini,Settore privato,comunicazione,,,,,,https://www.womentech.eu/tram-dellinnovazione
10/03/2022 0.00.00,Cerved Group S.p.A.,Cerved Digital Academy,"La Cerved Digital Academy è la Piattaforma di digital learning nata nel febbraio del 2021 dalla voglia di condividere il know-how aziendale con ogni tipo di organizzazione, soprattutto con il motore del Sistema Paese, le PMI. Sono disponibili 11 percorsi e +400 unità formative su un’unica piattaforma basata su dati, interazione e personalizzazione. Sull’onda di una digitalizzazione progressiva che cambia il modo di interagire e di approcciarsi al mondo del lavoro, Cerved propone il programma “New Way of Learning”: la sua piattaforma fruibile gratuitamente per i percorsi “Digital Marketing”, “Innovation & Technology” e “Competenze Manageriali”. Il percorso “Digital Marketing” è finalizzato all’apprendimento delle tecniche del marketing digitale. Nello specifico viene approfondito l’ambito SEO, del Conversion Rate Optimization e del Digital ADV, oltre a favorire l’apprendimento di un nuovo modo di lavorare attraverso il valore e la metodologia del Design Thinking. Il percorso “Innovation & Technology” è volto ad acquisire conoscenze sui temi tecnici legati all’information technology, dalla cyber security alla gestione dei big data e dei processi di digital transformation al change management. Il percorso “Competenze manageriali” è finalizzato a migliorare la capacità di gestione del team e le competenze digitali delle nuove figura manageriali. Nello specifico vengono approfonditi i concetti chiave di Agile, design thinking e digital manager.","PMI, aziende, professionisti della PA, liberi professionisti, lavoratori di ogni organizzazione, settore, ruolo e livello",Avvio del programma: febbraio 2022 con la possibilità di usufruire di tutti i corsi presenti nei percorsi formativi indicati; termine del programma: dicembre 2022 ,La valutazione dell'impatto avviene tramite la somministrazione di (1) un questionario di assessment per conoscere il livello di competenze dei partecipanti; (2) un'esercitazione e un test finale; (3) un questionario di gradimento attraverso feedback form dedicato in piattaforma Cerved Digital Academy e Social Ranking (valutazione sintetica) ,Contacts S.r.l.,Nazionale,Cittadini,Settore privato,piattaforme e-learning,Privati - eleadership,Privati - competenze per il lavoro,PA - eleadership,PA - competenze per il lavoro,,https://digitalacademy.cerved.com/
15/03/2022 0.00.00,Save the Children Italia ,Illuminiamo il futuro,"Dal 2014, attraverso la campagna nazionale “Illuminiamo il Futuro”, Save the Children si impegna a lavorare per contrastare la povertà educativa, attraverso l’attivazione di 26 Punti Luce nelle periferie di 20 città italiane e 15 regioni: Abruzzo, Basilicata, Calabria, Campania, Friuli Venezia Giulia, Lazio, Liguria, Lombardia, Marche, Piemonte, Puglia, Sardegna, Sicilia, Toscana, Veneto.
I Punti Luce sono centri socio-educativi che offrono a bambini/e e ragazzi/e tra i 6 e i 17 anni l’opportunità di partecipare gratuitamente ad attività formative ed educative, quali accompagnamento allo studio e diversi laboratori, tra cui laboratori sportivi e di movimento, laboratori di invito alla lettura, educazione ambientale, laboratori di tipo artistico-creativo, laboratori di orto e cucina, percorsi di cittadinanza attiva, laboratori di rafforzamento competenze digitali, attraverso attività di coding, robotica e di sviluppo dell’area STEM. 
Per quanto riguarda le attività di rafforzamento delle competenze digitali, i laboratori seguono due assi:
- il miglioramento delle competenze digitali di base: accesso e utilizzo degli strumenti offline (pc, tablet, smartphone), accesso alla rete Internet, utilizzo della rete in termini di contenuti, interazioni, safety&security, protezione della privacy e dei dati personali, e l’uso consapevole dei social media, attraverso tecniche e strumenti innovativi, come applicazioni interattive e workshop di approfondimento con esperti di questi temi;
- lo sviluppo di competenze digitali avanzate, per progettare e crescere con le tecnologie: grazie a laboratori di progettazione utilizzando in modo attivo e propositivo le tecnologie allo scopo di sviluppare capacità di problem solving e progettazione. Nello specifico si lavora sulle competenze digitali avanzate attraverso laboratori di grafica e stampa 3D, di coding e di robotica.","Bambini e bambine di età compresa tra i 6 e 17 anni, che vivono in alcuni dei contesti più complessi del Paese e che frequentano i Punti Luce.","Il programma, attivo dal 2014, è previsto per tutto il 2022 e 2023.","Per misurare il raggiungimento dei risultati, il programma, attraverso la Teoria del Cambiamento, ha definito un set di indicatori per misurare il raggiungimento di outputs e outcomes intermedi necessari al raggiungimento degli outcomes.",,Nazionale,Cittadini,Associazioni società civile,formazione informale,,,,,,https://www.savethechildren.it/cosa-facciamo/campagne/illuminiamo-il-futuro/punti-luce
15/03/2022 0.00.00,IFOA (Istituto Formazione Operatori Aziendali) ,Digital Revolution Skills,"Digital Revolution Skills è il progetto di Ifoa costruito per comunicare e diffondere la consapevolezza che stiamo vivendo un’epoca caratterizzata da una rivoluzione dei comportamenti e delle abitudini delle persone che coinvolge la sfera individuale, sociale e lavorativa.  L'iniziativa è realizzata da Ifoa e supportata da Cisco e permette a tutte le persone di effettuare un test per verificare le proprie conoscenze digitali 4.0. Al termine del test (24 domande) si ha accesso alle risposte esatte con relativa video pillola formativa per approfondire i concetti risultati meno chiari. Dopo il test si ha la possibilità di accedere gratuitamente a 4 corsi online della piattaforma Cisco Networking Academy per acquisire le digital skills che servono per essere studenti, cittadini, lavoratori, imprenditori digitali.","Cittadini, studenti, lavoratori, imprenditori",Il progetto è partito nel 2019 e continuerà ancora per tutto il 2022,"Numero persone che fanno il test, numero persone che accedono alle videopillole formative",Cisco,Nazionale,Cittadini,Settore privato,formazione formale,,,,,,https://www.ifoa.it/servizi/corsi-di-formazione/campus-digitale/digital-revolution-skills/)
15/03/2022 0.00.00,"Comuni di Spoleto, Campello sul Clitunno, Castel Ritaldi e Giano dell'Umbria",DigiPASS Spoleto,"l DigiPass Spoleto, Campello sul Clitunno, Castel Ritaldi e Giano dell’Umbria sono un “modello a rete” diffuso sul territorio della Zona Sociale 9 della Regione Umbria. Le sedi sono ospitate in luoghi pubblici attrezzati, ad accesso libero, messi a disposizione dai Comuni aderenti. Spoleto (Comune capofila) è sede centrale e punto di riferimento per gli altri spazi diffusi sul territorio, dove sono presenti vari locali. In ogni DigiPass è presente un esperto (“facilitatore digitale”) in grado di assistere, accompagnare e supportare gli utenti nell’utilizzo di servizi digitali. Vengono organizzati eventi formativi/informativi rivolti a cittadini, aziende, scuole, associazioni, professionisti, agenzie formative ed Enti pubblici finalizzati a promuovere e diffondere la conoscenza e l’utilizzo di strumenti e servizi digitali per servizi pubblici (CUP online, PagoPA, SPID, Fascicolo Sanitario Elettronico, effettuare un pagamento online a una PA o effettuare  l’iscrizione dei figli al nido o a scuola ecc.) e servizi digitali privati (ad esempio l’home banking o l’acquisto di prodotti online) e nell’uso dei social media. I punti DigiPass, inoltre, consentono la navigazione in rete, favoriscono l’inclusione digitale e lo scambio di competenze intergenerazionale, offrono postazioni di lavoro (scrivania e computer collegato in rete, telefono, sala riunioni) in co-working, con la possibilità di usare uno spazio di lavoro condiviso e di confrontarsi con altri professionisti, imprenditori, start up con il fine di collaborare e crescere insieme; offrono formazione sui temi legati al digitale di maggiore utilità; mettono a disposizione un luogo di confronto, scambio competenze e conoscenze, sperimentazione e condivisione tra enti di ricerca, PA, imprese utile a favorire processi di innovazione aperta. ","Cittadini, imprese, associazioni, scuole, liberi professionisti, centri di ricerca.",Da giugno 2019 a maggio 2022,"La valutazione dell'impatto avviene tramite i seguenti strumenti: registro degli utenti che effettuano l'accesso al servizio, questionario di customer satisfaction, numero di visualizzazioni sui social degli eventi organizzati dal DigiPass","Comuni di Campello sul Clitunno, Castel Ritaldi, Giano dell'Umbria, Istituzioni, Terzo settore, scuole.",Locale,Cittadini,Pubblica Amministrazione,facilitazione digitale,,,,,,https://digipass.regione.umbria.it/spoleto/
15/03/2022 0.00.00,Fondazione Generation Italy ,Corso di formazione per Sistemisti e Analisti Cybersecurity,"Parte dell’offerta formativa di Generation Italy è attualmente dedicata alle competenze digitali, con corsi per Junior Java Developer, Microsoft Developer e Sviluppatori CRM su tecnologia Salesforce. 
Il nostro approccio, che mette in relazione la domanda di competenze, le professionalità richieste dalle imprese e le aree geografiche che presentano un elevato numero di disoccupati, ci permette di creare valore per i datori di lavoro e di fare la differenza per i partecipanti ai nostri programmi, creando un incentivo per tutti a investire nella formazione. 
Con l’obiettivo di estendere gli ambiti di supporto per le aziende e di incrementare la sua offerta formativa, Generation Italy ha lanciato da pochissimo un nuovo percorso per Sistemisti e Analisti Cybersecurity, coinvolgendo studenti di Milano, Roma e Napoli su tre classi pilota. 
Il programma dura 360 ore (9 settimane), divise in 288 ore di contenuto tecnico (36 giorni), 54 ore di soft skills e 18 ore di lavoro autonomo 
Sulla scorta del successo di queste classi pilota, abbiamo deciso di confermare il contenuto del programma e prevedere nuove classi nei prossimi mesi, estendendo l’area geografica di intervento. 
Le candidature per queste nuove classi saranno aperte dal 20 Marzo 2022 e le prossime partenze sono previste per Aprile, Giugno e Ottobre 2022. 
","Giovani disoccupati e NEET tra i 18 e i 29 anni con background formativo disomogeneo (diploma, laurea, ecc.) alla ricerca di un primo impiego.",Avvio Marzo 2022 – Termine Dicembre 2022,"Numero di studenti che completano il corso di formazione (graduates)
Numero ore di formazione erogate
Numero ore di Mentorship erogate
Tasso di placement a 3 mesi
Tasso di retention a 6 mesi",,Nazionale,Cittadini,Settore privato,formazione formale,formazione specialistica ICT tecnologie emergenti,formazione specialistica ICT tecnologie classiche,,,,https://italy.generation.org/system-and-cybersecurity-analyst/
21/02/2022 0.00.00,Impact Hub Reggio Emilia,Junior Digital School,"Junior Digital School è la Scuola di Educazione all'Innovazione Digitale per ragazzi dagli 8 ai 13 anni nata da Impact Hub RE insieme ad un team di esperti e professionisti del settore digitale ed educativo reggiano. Attraverso il Creative Learning e il Learning by Doing, i ragazzi iscritti a JDS apprendono grazie all’invenzione, alla passione e al gioco. L’approccio della JDS non è frontale, ma collaborativo: gli studenti coinvolti nei progetti lavorano in team, guidati dai tutor didattici; ogni ragazzo contribuisce non solo acquisendo nuove competenze ma sviluppando le proprie skills naturali e le proprie predisposizioni, divertendosi. Ogni laboratorio didattico prevede un mix di attività digitali (ma non solo): coding, creative computing, making, design, robotica, utilizzo Arduino, kit IoT, Minecraft, 3d printers, intelligenza artificiale, droni.",Bambine/i e ragazze/i dagli 8 ai 13 anni.,Durante tutto l'anno 2022 ci sono attività pomeridiane calendarizzate a cicli di 6/7 settimane.,"Numero lab didattici attivati, numero partecipanti.",Rete Impact Hub Italia,Locale,Cittadini,Settore privato,formazione informale,,,,,,https://juniordigitalschool.it/
06/04/2022 0.00.00,AcademyRapido srl,WorkInTech,"WorkInTech è un progetto di Smart Learning erogato da AcademyRapido in collaborazione con Google.org, INCO e Fondazione Italiana Accenture. Il progetto, iniziato nell'autunno 2021 ed attualmente in corso, consentirà ad oltre 1000 giovani NEETs o svantaggiati di acquisire gratuitamente le competenze necessarie ad avviare una carriera nella tecnologia. I partecipanti in soli tre mesi conseguiranno senza costi uno dei Google Career Certificates by Google e faranno pratica reale di Cybersecurity, Data Analytics e Project Management, grazie alla guida di: (1) Advisor Esperti che lavorano nelle principali Aziende tech; (2) Coach Professionisti che li formeranno in modo specifico sulle Soft Skills più importanti in azienda, (3) Career Coach che li supporteranno attivamente all'ingresso nel mondo del lavoro. Academy Rapido reinventa l’esperienza di online training e rende possibile la trasformazione in massa di giovani NEETs o svantaggiati nei professionisti necessari per la Digital Transition del paese. Academy Rapido ha sviluppato una metodologia di training ibrida Asincrona+Live che combina la scalabilità dei corsi MOOCs con l’alto engagement dei corsi tipo Master. Utilizzando i principi della scienza comportamentale e l’automazione di alcune routine critiche nei processi didattici e formativi, Academy Rapido consente di erogare qualsiasi corso online già esistente in modo più efficiente, inclusivo e scalabile, creando sia le Hard Skill che le Soft Skill necessarie sul lavoro.",Giovani NEET o con lavori precari o facenti parti di minoranze che più difficilmente riuscirebbero ad avviare una carriera nella tecnologia.,L'inizio della seconda edizione 2022 del progetto WorkIntech è previsto per Settembre e terminerà a Dicembre 2022.,"Le principali metriche di valutazione dell'impatto sono: (1) la percentuale di ragazzi che termina il corso rispetto a coloro che lo hanno iniziato, (2) la percentuale di ragazzi che in seguito al percorso ha trovato lavoro (ad 1 mese e a 6 mesi dal termine dell'inziativa), (3) la percentuale di ragazzi che ha deciso di approfondire la propria formazione con un corso specializzato, (4) la percentuale di ragazzi che dichiara di aver migliorato la propria attitudine e il proprio mindset.","Google.org, INcoacademy, Fondazione Italiana Accenture",Nazionale,Cittadini,Settore privato,formazione specialistica ICT tecnologie classiche,piattaforme e-learning,Privati - competenze per il lavoro,,,,https://www.academyrapido.com/workintech/
06/04/2022 0.00.00,Cisco,Cybersecurity Scholarship - Cisco Networking Academy,"L'iniziativa Cybersecurity Scholarship - Cisco Networking Academy, avviata ad ottobre in occasione del Cybersecurity month, mette a disposizione 500 borse di studio rivolte a giovani e adulti di età compresa fra i 18 e i 45 anni. I selezionati hanno la possibilità di accedere gratuitamente a corsi di formazione specifici e di partecipare a webinar con professionisti cybersecurity di Cisco, italiani e non. I vincitori della borsa di studio prendono parte a laboratori pratici realizzati in collaborazione con le Academy Cisco su tutto il territorio nazionale e hanno l'opportunità di entrare in contatto con le aziende del settore digitale.",Studenti e adulti in età lavorativa con età compresa tra i 16 e i 45 anni,Ottobre 2021 - giugno 2022,"Numero di candidature, numero di partecipanti, numero di studenti che completano il percorso DevNet Learning lab","eForHum, Europa Networking, Consorzio ELIS, Consorzio Clara, Accademia del Levante, Veta Web, ICT Learning Solutions, ePeople, ICT Academy, iFOA",Nazionale,Cittadini,Settore privato,formazione specialistica ICT tecnologie emergenti,piattaforme e-learning,Privati - competenze per il lavoro,,,,https://www.scuoladigitalecisco.it/cybersecurity-scholarship-italia/
06/04/2022 0.00.00,Cisco,Cisco DevNet Learning Lab,"Cisco DevNet Learning Lab si inserisce nel quadro dell’iniziativa Hour of Code, all'interno della settimana dell’educazione informatica (Computer Science Education Week), che ha l'obiettivo di avvicinare al mondo della programmazione un pubblico sempre più ampio.Il DevNet Learning Lab è un laboratorio virtuale da frequentare online, dedicato interamente al mondo della programmazione. Nel contesto di questa inziativa è stato avviato, a dicembre 2021, il nuovo percorso Progetta il tuo Bot. IoT e Network Automation, rivolto a studenti e studentesse dell’ultimo anno delle scuole superiori, universitari, persone che lavorano nell’ICT e appassionati. ",Studenti e adulti in età lavorativa con età compresa tra i 16 e i 45 anni,Dicembre 2021 - maggio 2022,"Numero di candidature, numero di partecipanti, numero di studenti che completano il percorso",Consorzio Clara,Nazionale,Cittadini,Settore privato,formazione specialistica ICT tecnologie emergenti,piattaforme e-learning,Privati - competenze per il lavoro,,,,https://www.scuoladigitalecisco.it/devnet-learning-lab/
15/04/2022 0.00.00,Codemotion srl,Girls TechUp,"Codemotion Girls TechUp è un percorso di formazione remota destinato alle studentesse che, attraverso un inedito mix di coding e design 3D, vuole affrontare la sfida di ridurre il gender gap in ambito STEM, incoraggiando e stimolando le ragazze a studiare materie tecnico-scientifiche. Il percorso è articolato in laboratori di coding e tecnologia digitale basati sul Creative Learning, un modello educativo che si fonda sull’apprendimento pratico, la collaborazione, la progettazione e la passione e vedrà come temi principali di esplorazione la sostenibilità, le sfide e le opportunità offerte da nuove tecnologie emergenti come le realtà immersive ed il metaverso. ",Studentesse delle Scuole Secondarie di II° grado e docenti su tutto il territorio nazionale.,"Cadenza annuale, in linea con l’anno scolastico.",Numero delle ragazze coinvolte e progetti innovativi condivisi.,,Nazionale,Cittadini,Settore privato,formazione informale,,,,,,https://girlstechup.it/
26/04/2022 0.00.00,CeSVoP ,#VolontariDigitali," #VolontariDigitali è un percorso formativo rivolto ad associazioni di volontariato, enti di terzo settore, scuole, studenti della Sicilia Occidentale che ha l’obiettivo di lavorare sui temi della comunicazione efficace, del marketing sociale e della trasformazione digitale. In particolare, la formazione mira a far conoscere e applicare le migliori strategie per una comunicazione efficace online e offline, oltre che a diffondere l'utilizzo degli strumenti e dei servizi digitali gratuiti riservati alle organizzazioni noprofit. L'iniziativa prevede l'erogazione di un corso di formazione al mese per costruire una cultura digitale del noprofit, andando alla scoperta di opportunità, spunti, strumenti utili per potenziare comunicazione e presenza online di organizzazioni ed enti di terzo settore della Sicilia Occidentale. Agli incontri in calendario, erogati sia online che in presenza, si affianca la nascita di una vera e propria community, che si confronterà in un gruppo privato Facebook e che avrà modo di arricchire il proprio bagaglio di esperienze digitali grazie al costante aggiornamento della piattaforma ""CeSVoPweb""","Organizzazioni di volontariato, Enti di Terzo settore, volontari, cittadini, scuole, studenti",Il percorso #VolontariDigitali è partito il 1 ottobre 2021 e al momento non ha una data di fine definita.,"Numero di iscrizioni al corso, numero di interazioni su un gruppo privato facebook","gluo.org, CSV FVG",Locale,Cittadini,Associazioni società civile,formazione informale,piattaforme e-learning,comunicazione,,,,https://www.cesvop.org/una-cultura-digitale-del-noprofit-e-possibile/
26/04/2022 0.00.00,WeSchool,Dirigenti Digitali,"Dirigenti Digitali è il corso pensato appositamente per i Dirigenti Scolastici delle scuole italiane di ogni ordine e grado, con l’obiettivo di offrire metodi e strumenti concreti per gestire e valorizzare l’innovazione nella scuola. Gli obiettivi del corso sono (1) allenare le competenze chiave del nuovo Dirigente Scolastico; (2) padroneggiare i processi amministrativi della scuola digitale; (3) conoscere come tutelare la privacy dei dati e la sicurezza degli ambienti di apprendimento; (4) individuare le piattaforme digitali più adatte al proprio scopo; (5) comprendere come comunicare, condividere e diffondere l’innovazione. Il corso è suddiviso in 5 moduli e certifica 25 ore di formazione. Viene erogato in modalità asincrona partecipativa e contiene video, approfondimenti, attività collaborative, casi pratici e test di autovalutazione delle competenze acquisite; i moduli sono pubblicati online a cadenza regolare, ma non sono previste date fisse per l’accesso alle lezioni: ciascun discente ha la possibilità di seguirle con i propri tempi e in base ai propri impegni da pc, tablet o smartphone. Il corso, completamente gratuito, prevede inoltre la possibilità di partecipare ad una learning community: uno spazio digitale nel quale dirigenti e collaboratori scolastici da tutta Italia possono confrontarsi, condividere buone pratiche e ricevere il supporto dei tutor WeSchool, che li accompagnano durante tutto il percorso.",Dirigenti Scolastici,"Il percorso è disponibile, in modalità asincrona, da gennaio a giugno 2022.","Sono previste, per tutta la durata dell’iniziativa, la disponibilità di test di autovalutazione e test finale di misurazione dell’apprendimento; inoltre, al termine dell’edizione, verranno somministrate indagini di gradimento tra i partecipanti. L’approccio learning communities permette un monitoraggio costante dei livelli di partecipazione, apprendimento e gradimento attraverso la moderazione e animazione dello spazio digitale di apprendimento condiviso, attraverso l’interazione continua con i discenti tramite Wall (bacheca di comunicazione one-to-many) e tramite Chat (comunicazione one-to-one tra discente e tutor) e attraverso la reportistica in real time fornita dalla piattaforma WeSchool (ad esempio: ultimo ingresso del discente in piattaforma, percentuale di ciascun modulo visualizzata, commenti sul singolo contenuto, risultati dei test di autovalutazione, engagement). ",ANP - Associazione nazionale dirigenti pubblici e alte professionalità della scuola,Nazionale,Settore Pubblico,Settore privato,formazione informale,piattaforme e-learning,piattaforme e-learning,,,,https://www.weschool.com/progetti/dirigenti-digitali/
26/04/2022 0.00.00,Junior Achievement Italia,Girls in STEM,"Dalla collaborazione tra JA Italia, Coca-Cola HBC Italia e Fondazione Coca-Cola HBC Italia è nata l’iniziativa Girls in STEM, volta a incoraggiare le studentesse a considerare le materie tecnico-scientifico per il loro futuro e a supportare i docenti a farlo. Il progetto  offre un percorso di orientamento alle discipline STEM aperto a tutte le studentesse che seguono i laboratori di imprenditorialità a scuola ""Impresa in azione"" di JA Italia e un'incontro di mentoring personale al quale possono partecipare le studentesse più motivate. Nel 2022 saranno scelte 20 studentesse che potranno confrontarsi con le manager di Coca-Cola HBC Italia e visitare gli stabilimenti produttivi dell'azienda.","Studentesse dai 16 ai 19 anni che partecipano al programma di educazione imprenditoriale di JA ""Impresa in azione"".",L'iniziativa è annuale. Nel 2022 si svolge da aprile a giugno.,Numero di studentesse che partecipano all'iniziativa,"Coca-Cola HBC Italia, Fondazione Coca-Cola HBC Italia, STEAMiamoci",Nazionale,Cittadini,Associazioni società civile,comunicazione,formazione informale,,,,,https://www.jaitalia.org/girls-in-stem/
26/04/2022 0.00.00,Business integration partners S.p.A. ,Porta Digitale,"Porta Digitale è un progetto di educazione digitale rivolto a tutti i cittadini milanesi, residenti e non, che vogliono ampliare la propria conoscenza dei servizi digitali del Comune di Milano e contribuire attivamente alla costruzione di una città inclusiva e accessibile. Il naming del progetto nasce in riferimento alle celebri porte delle mura meneghine: Porta Digitale rappresenta la dodicesima porta di Milano, l’ingresso da valicare con un clic per scoprire il futuro digitale della città ed esserne protagonisti. Il progetto è incentrato su sei valori principali del cittadino digitale: Famiglia e Socialità, Salute e Sport, Servizi al cittadino, Cultura e Lavoro, Mobilità e Ambiente, Sicurezza e, proprio su questi valori, sono state create azioni di formazione e informazione per diventare dei veri e propri cittadini digitali. Porta Digitale comprende micro pillole informative sui servizi del Comune, un sito web dedicato, attività di gamification, webinar experience interattivi e iniziative di comunicazione","Il progetto è dedicato ai cittadini milanesi, residenti e non, e chiunque voglia fruire dei servizi digitali del comune.","Il progetto è stato sviluppato e realizzato nel biennio 2020 -2021, ed è attualmente attivo.","Le metriche utilizzate per valutare gli impatti del progetto sono le seguenti: numero di registrazioni al sito; numero di partecipanti alle olimpiadi digitali; numero di municipi aderenti alla sfida delle olimpiadi digitali; numero di persone che fruiscono della formazione online e conseguono l’attestato di Cittadino Digitale.
",Comune di Milano - Partner e sponsor FDA Fastweb Digital Academy,Locale,Cittadini,Settore privato,comunicazione,facilitazione digitale,,,,,https://www.porta-digitale.it/
26/04/2022 0.00.00,Officina Futuro Fondazione W-Group ,Girls Code it Better,"Girls Code It Better è un progetto gratuito di creatività digitale e imprenditorialità che favorisce una connessione tra percorso scolastico e professionale alimentando l’interesse  per le tecnologie e l’innovazione e sostenendo percorsi in ambito STEM. GCIB crea Club extra-curriculari nelle scuole secondarie di I e II grado nei quali 20 ragazze  guidate da un coach-docente e un coach-maker affrontano un tema e l’elaborazione di  un progetto in un’area tecnica scelta tra automazione, modellazione e stampa 3D, web  development, coding app e gaming, realtà virtuale e aumentata, videomaking. La metodologia didattica Project Based Learning (PBL) di GCIB è stimolante, rafforza il valore della riflessione e del  pensiero creativo a favore di una progettazione collaborativa ed efficace. La ricerca attivata per misurare l’effetto su aspirazioni e percezione delle barriere sugli  stereotipi di genere indica che il progetto ha un impatto sostanziale nell’influenzare scelte di  istruzione e occupazione delle ragazze partecipanti.","Ragazze delle scuole secondarie di primo e secondo grado, insegnanti delle scuole  e indirettamente i genitori coinvolti nella riflessione sugli stereotipi formativi.","Il percorso in ogni scuola si svolge durante tutto l'anno scolastico. Nel mese di settembre sono previste le presentazioni all'interno delle scuole per motivare le ragazze e rendere consapevoli le famiglie delle opportunità offerte dal digitale e dagli ambiti STEM. Nel mese di ottobre è prevista la formazione dei formatori, che coinvolge insegnanti delle scuole e ""maker"". Da novembre ad aprile si svolgono gli incontri con le ragazze a cadenza settimanale. Nel mese di maggio, durante l'evento finale, le ragazze presentano il percorso e il prodotto creato.","Il percorso prevede degli incontri di monitoraggio e valutazione effettuati insieme all'equipe ""adulta"" per osservare la ricaduta sul metodo didattico acquisito dagli insegnanti. Gli insegnanti sono guidati alla scoperta del metodo sempre supportati da un Tutor di progetto. Per quanto riguarda l'impatto sulla scuola è prevista una ricerca sviluppata Harvard University e LEAP-Università Bocconi Università di Bologna che ha l'obiettivo di valutare se si possono ridurre le conseguenze (negative) dell'esposizione agli stereotipi di genere aumentando la fiducia in se stesse delle ragazze. È poi previsto anche un questionario di gradimento alla fine del percorso. Si valutano anche le scelte dei percorsi di formazione (superiore o universitaria) in uscita dai club. Si misura l'autoefficacia rispetto alle discipline scientifiche (matematica).
",Ogni anno cerchiamo partner pubblici e privati che ci aiutino a sostenere l'iniziativa. ,Nazionale,Cittadini,Associazioni società civile,formazione informale,,,,,,https://girlscodeitbetter.it/
